year,1,2,3,4,5,6,7,8,9,10,11,12
2014,,,,,,,,,0.0,-0.13428478883068262,0.11102332724778652,-0.1660946011274289
2015,-0.3868905772802682,0.1563358259614187,-0.040283333371632146,-0.03363979171984344,-0.025540975763502338,0.1335226591686114,0.0788326093225713,-0.21293757746809305,0.025763243171789796,0.28583546157374506,0.18317486099129088,0.13200659019927308
2016,-0.15493790877094593,0.171361865873763,-0.049090729712866654,0.07306664697864029,0.1699858749559997,0.23675724852587976,-0.07500474237317256,-0.08205062056994716,0.05783386519289646,0.13944350918112391,0.06184335541933628,0.25651336467372676
2017,0.0068868229347485155,0.19553280384711424,-0.09615880521485298,0.22921023327202672,0.5284424457770927,0.08161438450155867,0.14757371076074577,0.4921125956912835,-0.08070649448199951,0.3993517077212818,0.45874761842239664,0.3244904602005736
2018,-0.32571267338712495,0.01714972738881393,-0.3994823782495516,0.2814798645558625,-0.20947601205123867,-0.15720257936947846,0.19469008919566022,-0.10034851215463547,-0.060329466730044246,-0.04759395500679098,-0.4527387427560985,-0.07079481416896805
2019,-0.07917694887915694,0.10868489296899142,0.06298888933675784,0.2649281308216871,0.47156055233512895,0.232340415023101,-0.07002189192516184,-0.04615925207805738,-0.14943571475752293,0.10364190373644,-0.19501419646887186,-0.05095255396872567
2020,0.2622413313315928,-0.08372786691247391,-0.2893870426283236,0.2962296592030782,0.08863657823887827,-0.034743483828233224,0.2144364849669902,0.031070927138792115,-0.0798391040602624,0.24518137446988675,0.35355638072458184,0.3905083045140554
2021,0.1326118434702721,0.3097523516362912,0.2664414105155277,-0.0200343752104164,-0.4362526106275695,-0.06335966015343075,0.1722155416570832,0.12495820600667606,-0.07426196175476463,0.3366631368797339,-0.07294259278707926,-0.20786529343198978
2022,-0.18506132549831733,0.11546403777657765,0.052878110771871434,-0.1885074030982956,-0.17083012512480167,-0.47431419954702925,0.16512539389891323,-0.1518182814518081,-0.03130703026484305,0.053308354627773724,-0.17713851378666767,-0.0368453803724087
2023,0.33529694780894737,0.0003487102608392689,0.20726841293989828,0.02737346118121131,-0.07258288882309571,0.11304112741980532,-0.041781179925788337,-0.11974199634133953,0.03919047223503114,0.25116289769515276,0.08418736858720521,0.11396562667992782
2024,0.007482090893391913,0.3626749169775412,0.15324737915532616,-0.1624652594289735,0.10709750645077776,-0.07398520766284555,0.030497170964087772,-0.0914852362782721,0.07132413760790435,0.10321337844136202,0.31745030445482314,-0.031810974585194884
2025,0.09173180475320208,-0.1936882306061527,-0.021856522429342107,0.13210679058451014,0.10500986436400161,0.023585186772381306,0.07741070269129757,-0.0671829631411196,0.052369712674407154,-0.024118917860112887,,
